timestamp,x,y,z
1075.10177,1.15,0.637,0.135
1075.105039,1.29,0.613,0.17
1075.108344,1.43,0.54,0.212
1075.111816,1.49,0.458,0.264
1075.116048,1.59,0.341,0.271
1075.118685,1.7,0.219,0.279
1075.122037,1.77,0.0363,0.377
1075.125524,1.77,-0.23,0.479
1075.128934,1.76,-0.401,0.534
1075.132362,1.75,-0.562,0.576
1075.13637,1.73,-0.742,0.66
1075.139235,1.73,-0.936,0.741
1075.143021,1.75,-0.987,0.704
1075.146037,1.73,-1.05,0.658
1075.149458,1.68,-1.1,0.647
1075.152894,1.6,-1.16,0.664
1075.156351,1.51,-1.21,0.676
1075.15971,1.35,-0.999,1.14
1075.163123,1.95,-1.04,2
1075.166524,2,1.47,-1.09
1075.169957,2,2,-2
1075.173685,2,0.891,0.533
1075.176806,1.07,-0.101,0.601
1075.180175,2,0.353,-0.43
1075.183611,2,-0.519,0.141
1075.187022,1.78,-0.64,0.137
1075.190439,1.77,-0.532,-0.233
1075.193887,1.18,-0.927,-0.239
1075.197317,0.663,-1.13,-0.251
1075.200724,0.235,-1.35,-0.235
1075.204127,-0.0303,-1.62,-0.112
1075.207628,-0.256,-1.96,0.011
1075.210987,-0.487,-2,0.021
1075.214417,-0.654,-2,0.108
1075.217867,-0.944,-2,0.182
1075.221341,-1.21,-2,0.209
1075.224829,-1.46,-2,0.23
1075.228147,-1.7,-2,0.346
1075.231526,-1.87,-2,0.507
1075.234922,-2,-2,0.56
1075.23834,-2,-2,0.518
1075.241743,-2,-2,0.693
1075.245143,-1.9,-2,0.785
1075.248581,-1.74,-2,0.412
1075.252046,-1.69,-2,0.148
1075.255489,-1.63,-1.82,0.0897
1075.258887,-1.26,-1.35,-0.11
1075.262336,-0.939,-1,-0.166
1075.265731,-0.752,-0.782,-0.231
1075.269394,-0.627,-0.445,-0.31
1075.272605,-0.499,-0.189,-0.383
1075.276057,-0.264,0.068,-0.387
1075.279464,-0.0193,0.225,-0.362
1075.282914,0.191,0.331,-0.292
1075.286375,0.354,0.432,-0.229
1075.289696,0.503,0.548,-0.177
1075.293124,0.722,0.689,-0.173
1075.296562,0.852,0.768,-0.153
1075.299965,1.02,0.832,-0.137
1075.303375,1.19,0.866,-0.109
1075.306804,1.34,0.828,-0.0289
1075.310206,1.53,0.755,0.0512
1075.313614,1.66,0.699,0.0934
1075.317047,1.78,0.621,0.125
1075.320474,1.87,0.498,0.199
1075.323921,1.96,0.355,0.259
1075.327954,2,0.125,0.33
1075.332032,2,-0.0557,0.39
1075.336111,2,-0.275,0.477
1075.340189,2,-0.48,0.519
1075.344267,2,-0.677,0.576
1075.344677,2,-0.93,0.67
1075.347866,2,-1.07,0.734
1075.351306,1.9,-1.18,0.754
1075.354683,1.83,-1.27,0.775
1075.358126,1.76,-1.33,0.785
1075.361523,1.85,-1.11,2
1075.364963,2,0.481,-0.0647
1075.36835,2,2,-2
1075.371744,2,0.549,-0.114
1075.37516,1.63,-0.395,0.997
1075.378594,2,0.203,-0.128
1075.382022,2,-0.277,0.123
1075.385469,2,-0.306,0.0425
1075.388867,2,-0.162,-0.313
1075.392406,1.78,-0.479,-0.255
1075.395701,0.965,-0.707,-0.372
1075.399115,0.65,-0.913,-0.348
1075.402587,0.283,-1.16,-0.387
1075.405982,-0.0199,-1.46,-0.35
1075.409458,-0.374,-1.72,-0.221
1075.412818,-0.67,-2,-0.0899
1075.416888,-0.913,-2,0.034
1075.419761,-1.1,-2,0.0833
1075.423105,-1.43,-2,0.115
1075.426565,-1.55,-2,0.25
1075.429964,-1.8,-2,0.343
1075.433377,-1.99,-2,0.426
1075.436793,-2,-2,0.563
1075.440248,-2,-2,0.661
1075.443794,-2,-2,0.888
1075.447058,-1.87,-2,0.5
1075.450487,-1.86,-2,0.182
1075.453888,-1.85,-2,0.116
1075.457336,-1.69,-1.81,0.0673
1075.460798,-1.35,-1.37,-0.0916
1075.464156,-0.994,-1.08,-0.188
1075.467925,-0.82,-0.806,-0.281
1075.471041,-0.745,-0.599,-0.277
1075.474476,-0.604,-0.353,-0.351
1075.477848,-0.343,-0.108,-0.37
1075.481301,-0.119,0.028,-0.336
1075.484753,0.0592,0.15,-0.28
1075.488271,0.203,0.261,-0.223
1075.491619,0.335,0.376,-0.193
1075.495876,0.519,0.536,-0.167
1075.498538,0.69,0.629,-0.19
1075.501901,0.816,0.716,-0.183
1075.505333,0.971,0.744,-0.126
1075.508752,1.14,0.755,-0.0451
1075.512154,1.32,0.737,-0.00104
1075.515593,1.45,0.712,0.014
1075.519028,1.59,0.659,0.0368
1075.522545,1.71,0.584,0.0756
1075.525963,1.81,0.4,0.201
1075.529343,1.9,0.232,0.276
1075.532755,1.95,0.0673,0.377
1075.536274,1.98,-0.0897,0.471
1075.539631,2,-0.275,0.567
1075.543041,2,-0.462,0.625
1075.546432,2,-0.601,0.665
1075.549858,1.06,-0.469,2
1075.553314,2,-0.0475,1.69
1075.55675,2,2,-1.99
1075.560095,2,0.892,-0.23
1075.563577,2,-0.324,1.18
1075.566956,2,0.251,0.185
1075.57041,2,-0.159,0.0844
1075.57384,2,-0.512,0.259
1075.577439,2,-0.372,-0.249
1075.580694,2,-0.722,-0.325
1075.584059,1.81,-0.925,-0.337
1075.587515,1.16,-1.21,-0.447
1075.59092,0.698,-1.5,-0.375
1075.594382,0.186,-1.9,-0.367
1075.59777,-0.2,-2,-0.309
1075.6012,-0.508,-2,-0.229
1075.60462,-0.825,-2,-0.125
1075.608031,-1.24,-2,-0.00323
1075.611468,-1.46,-2,0.214
1075.614894,-1.63,-2,0.326
1075.618325,-1.68,-2,0.466
1075.621748,-1.7,-2,0.573
1075.625212,-1.82,-2,0.595
1075.628599,-1.8,-2,0.59
1075.631989,-1.84,-2,0.528
1075.635462,-1.82,-2,0.421
1075.638864,-1.81,-2,0.184
1075.642334,-1.76,-2,0.0499
1075.645692,-1.55,-1.75,-0.00915
1075.649132,-1.37,-1.35,-0.196
1075.652626,-1.16,-1.04,-0.192
1075.655994,-1.07,-0.772,-0.229
1075.65941,-0.952,-0.411,-0.346
1075.662796,-0.756,-0.0598,-0.381
1075.666242,-0.565,0.197,-0.404
1075.669675,-0.353,0.409,-0.405
1075.673079,-0.188,0.602,-0.382
1075.676559,-0.0294,0.826,-0.339
1075.679956,0.2,0.969,-0.327
1075.683355,0.392,1.1,-0.323
1075.686816,0.546,1.18,-0.307
1075.690244,0.682,1.24,-0.28
1075.693679,0.87,1.23,-0.194
1075.697066,1.04,1.2,-0.15
1075.70044,1.21,1.12,-0.0945
1075.703956,1.34,0.994,-0.0118
1075.707319,1.48,0.83,0.0318
1075.710723,1.65,0.624,0.0343
1075.714146,1.71,0.352,0.172
1075.717579,0.352,0.405,1.5
1075.720993,2,0.444,0.54
1075.724417,2,1.45,-1.05
1075.727856,2,-0.22,0.731
1075.731308,2,-0.906,1.34
1075.734723,2,-0.527,0.705
1075.738124,2,-0.671,0.497
1075.741519,2,-1.01,0.73
1075.744951,2,-0.922,0.524
1075.748386,2,-1.07,0.528
1075.751827,2,-1.24,0.456
1075.755352,2,-1.16,0.244
1075.758728,2,-1.16,0.0621
1075.762089,1.56,-1.16,-0.0747
1075.765501,1.11,-1.16,-0.16
1075.768971,0.707,-1.17,-0.192
1075.772383,0.334,-1.25,-0.245
1075.77583,-0.0908,-1.31,-0.271
1075.779312,-0.602,-1.5,-0.198
1075.782685,-0.795,-1.64,-0.139
1075.786108,-1.06,-1.79,-0.0681
1075.789499,-1.28,-1.95,-0.00836
1075.792932,-1.5,-2,0.0969
1075.796348,-1.65,-2,0.15
1075.79981,-1.74,-2,0.252
1075.803186,-1.84,-2,0.354
1075.806632,-1.98,-2,0.363
1075.810055,-2,-2,0.415
1075.813475,-2,-2,0.385
1075.816871,-2,-2,0.357
1075.820309,-2,-2,0.289
1075.823713,-2,-2,0.223
1075.827134,-1.76,-2,0.444
1075.830532,-1.5,-2,0.43
1075.834009,-1.39,-1.79,0.173
1075.837436,-1.22,-1.5,-0.0332
1075.840837,-0.953,-1.21,-0.146
1075.844296,-0.669,-0.923,-0.227
1075.847668,-0.398,-0.741,-0.241
1075.851074,-0.19,-0.542,-0.27
1075.854531,0.0239,-0.345,-0.318
1075.857972,0.216,-0.157,-0.338
1075.861443,0.468,0.0307,-0.32
1075.864836,0.622,0.154,-0.272
1075.86823,0.799,0.247,-0.222
1075.871668,0.922,0.366,-0.202
1075.875116,1.07,0.448,-0.166
1075.878514,1.29,0.542,-0.121
1075.881917,1.39,0.58,-0.0354
1075.885347,1.5,0.578,0.0443
1075.888813,1.63,0.643,0.0246
1075.892296,1.72,0.623,0.0966
1075.895641,1.87,0.574,0.161
1075.899057,1.99,0.516,0.184
